Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-SearchByCIF(Variation),Chrome 81.0.4044.113,,,2020-04-17 22:24:15,2020-04-17 22:26:11,"1m - 56,678s",PASSED
,,,,,,,
Test Cases/SearchCustomerBDD/SearchByCIF/TC02-SearchByCIF_Variation,Chrome 81.0.4044.113,,,2020-04-17 22:24:15,2020-04-17 22:26:11,"1m - 56,323s",PASSED
