Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-SearchByID,Chrome 81.0.4044.113,,,2020-04-17 21:50:39,2020-04-17 21:51:37,"58,087s",PASSED
,,,,,,,
Test Cases/SearchCustomerBDD/SearchByNoID/TC07-SearchByID,Chrome 81.0.4044.113,,,2020-04-17 21:50:40,2020-04-17 21:51:37,"57,597s",PASSED
