Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-SearchByNorek(Variation),Chrome 81.0.4044.113,,,2020-04-17 22:15:21,2020-04-17 22:15:48,"26,114s",PASSED
,,,,,,,
Test Cases/SearchCustomerBDD/SearchByNorek/TC06-SearchByNorek(Variation),Chrome 81.0.4044.113,,,2020-04-17 22:15:22,2020-04-17 22:15:48,"25,718s",PASSED
