Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-SearchByNameTglLahir(Variation),Chrome 81.0.4044.113,,,2020-04-17 22:42:13,2020-04-17 22:43:04,"50,579s",PASSED
,,,,,,,
Test Cases/SearchCustomerBDD/SearchByName_TglLahir/TC04-NamaDanTglLahir_Variation,Chrome 81.0.4044.113,,,2020-04-17 22:42:14,2020-04-17 22:43:04,"50,257s",PASSED
